Name;logre_arcsec;logre_as_err;logre_parsec;logre_ps_err;mre;mre_err;Mre;Mre_err;mue;mue_err;Ellre;Ellre_err;logsig_v;logsig_v_err
NGC57;1.29;0.02;3.7;0.02;11.86;0.44;-21.76;0.44;19.28;0.47;0.17;0.02;2.502;0.025
NGC97;1.18;0.01;3.54;0.01;12.44;0.16;-20.92;0.16;19.55;0.17;0.06;0.02;2.086;0.117
NGC194;1.4;0.01;3.79;0.01;11.94;0.06;-21.55;0.06;20.14;0.08;0.11;0.02;2.332;0.051
NGC221;1.65;0.01;2.16;0.05;7.89;0.21;-16.21;0.31;17.27;0.22;0.17;0.02;1.898;0.055
NGC410;1.62;0.01;4.03;0.01;11.26;0.3;-22.36;0.3;20.37;0.32;0.26;0.02;2.458;0.023
NGC430;1.05;0.08;3.44;0.08;12.62;0.28;-20.92;0.28;18.86;0.46;0.3;0.02;2.497;0.06
NGC533;1.67;0.04;4.09;0.04;11.14;0.15;-22.52;0.15;20.52;0.17;0.27;0.02;2.471;0.021
NGC584;1.57;0.01;3.5;0.02;10.33;0.16;-20.91;0.16;18.9;0.17;0.37;0.02;2.369;0.028
NGC596;1.35;0.01;3.28;0.02;11;0.08;-20.22;0.08;18.91;0.11;0.1;0.02;2.233;0.031
NGC636;1.27;0.01;3.2;0.02;11.6;0.14;-19.61;0.14;19.05;0.16;0.14;0.02;2.238;0.03
NGC661;1.21;0.01;3.48;0.01;11.92;0.16;-21.01;0.16;18.96;0.18;0.28;0.01;2.272;0.035
NGC680;1.24;0.01;3.4;0.01;11.6;0.17;-20.77;0.17;18.84;0.19;0.2;0.02;2.362;0.023
NGC720;1.6;0.01;3.51;0.02;10.5;0.16;-20.61;0.16;19.27;0.18;0.43;0.02;2.35;0.049
NGC741;1.54;0.02;3.96;0.02;11.31;0.14;-22.37;0.14;20.2;0.16;0.13;0.02;2.477;0.029
NGC750;1.91;0.06;4.32;0.06;10.86;0.16;-22.76;0.16;21.45;0.27;0.21;0.14;2.297;0.064
NGC751;2.08;0.09;4.5;0.09;10.86;0.26;-22.79;0.26;22.77;0.43;0;0.04;2.369;0.06
NGC777;1.4;0.04;3.79;0.04;11.3;0.15;-22.21;0.15;19.51;0.22;0.16;0.02;2.525;0.032
NGC821;1.56;0.01;3.49;0.02;10.65;0.06;-20.6;0.06;19.43;0.07;0.28;0.02;2.332;0.03
NGC990;1.05;0.04;3.29;0.04;12.83;0.24;-19.92;0.24;19.14;0.31;0.16;0.02;2.26;0.053
NGC1016;1.38;0.01;3.88;0.01;11.66;0.12;-22.42;0.12;19.82;0.13;0.06;0.02;2.479;0.019
NGC1052;1.61;0.02;3.48;0.02;9.79;0.65;-21.13;0.65;18.93;0.68;0.29;0.02;2.31;0.032
NGC1132;1.62;0.01;4.15;0.01;11.82;0.12;-22.38;0.12;20.94;0.14;0.31;0.03;2.394;0.025
NGC1172;1.24;0.02;3.15;0.03;12.27;0.11;-18.85;0.11;19.51;0.14;0.17;0.02;2.299;0.026
NGC1199;1.41;0.02;3.53;0.02;11.71;0.19;-20.46;0.19;19.83;0.22;0.22;0.01;2.322;0.027
NGC1209;1.42;0.02;3.53;0.02;11.1;0.08;-21;0.08;18.66;0.11;0.54;0.02;2.412;0.025
NGC1395;1.67;0.01;3.61;0.01;10.01;0.11;-21.25;0.11;19.47;0.12;0.18;0.02;2.396;0.056
NGC1407;1.69;0.01;3.65;0.01;9.88;0.06;-21.48;0.06;19.41;0.07;0.16;0.02;2.438;0.019
NGC1426;1.41;0.02;3.28;0.02;11.42;0.23;-19.49;0.23;19.25;0.15;0.34;0.03;2.196;0.042
NGC1439;1.41;0.02;3.35;0.02;11.5;0.17;-19.74;0.17;19.79;0.2;0.1;0.02;2.27;0.047
NGC1521;1.33;0.01;3.64;0.01;11.64;0.14;-21.49;0.14;19.42;0.15;0.23;0.02;2.326;0.054
NGC1587;1.37;0.01;3.64;0.01;11.46;0.52;-21.48;0.52;19.33;0.54;0.18;0.02;2.36;0.051
NGC1600;2.04;0.08;4.41;0.08;10.18;0.29;-23.25;0.29;22;0.4;0.26;0.02;2.509;0.027
NGC1653;1.28;0.02;3.63;0.02;11.72;0.13;-21.57;0.13;19.31;0.17;0.06;0.02;2.442;0.063
NGC1700;1.35;0.01;3.65;0.01;11.03;0.08;-22.04;0.08;18.66;0.1;0.34;0.01;2.369;0.037
