Function;Package
nested.corr;boot
boot;boot
boot.array;boot
boot.ci;boot
cd4.nested;boot
censboot;boot
freq.array;boot
jack.after.boot;boot
linear.approx;boot
plot.boot;boot
print.boot;boot
print.bootci;boot
saddle;boot
saddle.distn;boot
tilt.boot;boot
tsboot;boot
cv.glm;boot
glm.diag;boot
glm.diag.plots;boot
k3.linear;boot
print.simplex;boot
simplex;boot
simplex.objects;boot
var.linear;boot
LogitBoost;caTools
predict.LogitBoost;caTools
agnes;cluster
bannerplot;cluster
clara;cluster
clara.object;cluster
daisy;cluster
diana;cluster
fanny;cluster
mona;cluster
plot.agnes;cluster
plot.diana;cluster
plot.mona;cluster
pltree;cluster
pltree.twins;cluster
silhouette;cluster
twins.object;cluster
stats;cluster
cophenetic;cluster
hclust;cluster
kmeans;cluster
smooth.construct.mrf.smooth.spec;cluster
dpill;KernSmooth
cloud;lattice
boxcox;MASS
glm.nb;MASS
glmmPQL;MASS
lda;MASS
ls.glm;MASS
loglm;MASS
predict.lda;MASS
rlm;MASS
rms.curve;MASS
sammon;MASS
stdres;MASS
studres;MASS
summary;MASS
bam;mgcv
bam.update;mgcv
fixDependence;mgcv
gam ;mgcv
linear.functional.terms;mgcv
corLin;nlme
gls;nlme
gnls;nlme
gnlsStruct;nlme
lme;nlme
lmeStruct;nlme
nlme;nlme
nlmeStruct;nlme
recalc;nlme
Variogram;nlme
Variogram.corExp;nlme
Variogram.corGaus;nlme
Variogram.corLin;nlme
Variogram.corRatio;nlme
Variogram.corSpatial;nlme
Variogram.corSpher;nlme
Variogram.default;nlme
Variogram.gls;nlme
Variogram.lme;nlme
anova.trls;spatial
predict.trls;spatial
prmat;spatial
surf.gls;spatial
surf.ls;spatial
trls.influence;spatial
trmat;spatial
polySpline;splines
splineOrder;splines
anova.lm;stats
anova.glm;stats
anova.mlm;stats
constrOptim;stats
embed;stats
glm;stats
family.glm;stats
lm;stats
family;stats
formula;stats
residuals;stats
labels;stats
lm.wfit;stats
lm.fit;stats
loglin;stats
nlm;stats
nls;stats
predict.lm;stats
predict.nls;stats
selfStart;stats
summary;stats
princomp;stats
prcomp;stats
biplot;stats
predict.loess;stats
filter;timeSeries
