RA,Dec,mag,cz
12.5555	12.85361111,15.3,-504
0.712305556,41.26888889,4.3,-297
17.33702778,57.91888889,12.4,-292
15.15283333,67.21444444,13.6,-261
1.083888889,2.134166667,10.7,-234
0.672777778,41.68527778,9.4,-233
0.649361111,48.33722222,11,-227
12.42088889,12.71472222,15.1,-214
12.31805556,13.98083333,15.4,-207
0.711611111,40.865,9.2,-200
1.564194444,30.65611111,6.5,-194
0.553527778,48.51,12,-188
23.47644444,14.74305556,13.2,-183
12.21347222,13.97638889,14.7,-182
7.422194444,86.2125,15.5,-172
12.44897222,15.0475,11.6,-171
19.27830556,63.97166667,13.7,-157
12.28222222,13.62527778,14.1,-156
12.42583333,12.26055556,15,-141
12.70252778,12.59666667,14.7,-136
16.024,81.865,14,-136
12.22802778,15.45388889,15.5,-133
12.54497222,14.05027778,13.5,-130
12.23005556,14.9,11,-129
11.46663889,78.99416667,14.7,-100
10.94752778,77.71638889,15.5,-94
12.26091667,13.90166667,11.9,-92
11.22425,22.15944444,13.2,-87
12.20419444,12.48833333,15.3,-53
14.73575,1.195277778,15.4,-50
9.267444444,52.84166667,14,-44
9.926527778,69.06444444,7.8,-40
4.547083333,71.88222222,12.1,-36
12.27602778,13.03138889,15.2,-35
18.68672222,70.54833333,15.5,-3
4.594777778,8.2525,14.8,3
2.929555556,33.76666667,15,11
8.568666667,66.18166667,15.4,19
1.8235,34.97361111,15.5,21
8.377833333,56.32611111,14.9,21
9.787583333,67.91666667,10.9,24
12.68905556,14.70083333,15.5,24
3.78025,68.09611111,10.5,31
9.035055556,23.38694444,14.9,31
20.58133333,60.15305556,10.5,31
7.800444444,85.55222222,15.5,34
13.10655556,67.70388889,14.1,36
8.530388889,28.53638889,15.3,38
12.69841667,13.7725,15.3,43
17.82397222,70.145,10.9,43
12.48838889,10.13583333,15.4,46
12.62922222,7.103333333,15.4,61
13.51236111,54.91111111,14.8,62
13.14919444,-3.706111111,15.3,66
19.1455,70.28361111,14.4,69
13.14327778,78.93722222,14.7,70
4.5135,64.84888889,11.8,73
12.23566667,66.09472222,15,83
12.57108333,13.07527778,13.3,88
21.46830556,8.625833333,15.5,97
12.46269444,13.00888889,12,98
2.593722222,37.63861111,13.2,105
12.51605556,12.27083333,11.2,105
12.44227778,12.61083333,13.6,109
5.237305556,62.57638889,15.3,111
